file,S,N,sum_A,min_S_per_N,var_S_per_N,mean_S_per_N,est_p,fragility,web_type,dispersion,robustness,robustness_hat,residRf,log10d,web_type_fac,.fitted,.resid,fstar,resid_simple,resid_fstar
data/A_HP_001.csv,18,9,53,1,18.76543209876543,5.888888888888889,0.3271604938271605,0.308059327800672,HP,2.14405880373735,0.441,0.6898187750355816,-0.2509406721993279,0.33123669230265124,HP,-0.09508818734128915,-0.15585248485803876,0.4031475151419612,-0.15585248485803876,-0.018007119219526135
data/A_HP_002.csv,24,17,86,1,6.055363321799308,5.0588235294117645,0.2107843137254902,0.4987019934889199,HP,0.9446836190016362,0.3764166666666667,0.514528441323547,-0.12488133984441346,-0.024713615329596258,HP,0.007094542781492433,-0.1319758826259059,0.4916074507074275,-0.13197588262590587,-0.01049759840502379
data/A_HP_003.csv,9,22,101,1,5.514462809917355,4.590909090909091,0.51010101010101,0.481320507939931,HP,0.5884520270208841,0.2702222222222222,0.529529291916244,-0.24845726983784688,-0.2302889368126273,HP,0.06610909381457476,-0.31456636365242163,0.4152114141253562,-0.31456636365242163,-0.17821289107302146
data/A_HP_004.csv,21,5,33,1,23.04,6.6,0.3142857142857143,0.20313032711958845,HP,2.3937662337662338,0.47628571428571426,0.7940266291566422,-0.32058395859469735,0.37908173657063615,HP,-0.10882307432219628,-0.21176088427250106,0.31195340144178474,-0.21176088427250106,-0.07113051440832235
data/A_HP_005.csv,13,6,38,1,20.88888888888889,6.333333333333333,0.48717948717948717,0.20638153567207354,HP,1.6914080071974809,0.3583076923076923,0.7907470918483075,-0.43531077202023416,0.22824838222867044,HP,-0.06552331137842446,-0.3697874606418097,0.271904847050498,-0.3697874606418097,-0.2331346682675034
data/A_HP_006.csv,37,15,116,1,29.795555555555556,7.733333333333333,0.209009009009009,0.3121548665821807,HP,3.0475882779331056,0.2809189189189189,0.6858369874833333,-0.4069262144989003,0.4839562944590655,HP,-0.1389294358442408,-0.26799677865465954,0.4510843024264215,-0.26799677865465954,-0.13749643577372095
data/A_HP_007.csv,17,7,30,1,5.061224489795919,4.285714285714286,0.25210084033613445,0.3940460477351683,HP,0.8832332933173269,0.4137647058823529,0.6080118505160086,-0.19218924638247875,-0.053924568655320984,HP,0.015480137333065408,-0.20766938371554416,0.3785659104021029,-0.20766938371554416,-0.06756173329593257
data/A_HP_008.csv,24,7,34,1,25.265306122448976,4.857142857142857,0.20238095238095238,0.35856222780040103,HP,4.148959583833533,0.33991666666666664,0.64129001988283,-0.3015211055329323,0.6179392042665319,HP,-0.17739193811033244,-0.12412916742259988,0.5359541659107334,-0.12412916742259994,-0.015235499994351642
data/A_HP_009.csv,22,13,82,1,14.366863905325443,6.3076923076923075,0.2867132867132867,0.3450675708940523,HP,1.624634277542345,0.3379090909090909,0.6541303362038128,-0.31702333819685674,0.21075561200952225,HP,-0.06050165813055095,-0.25652168006630577,0.4055692290246033,-0.25652168006630577,-0.1189559897494481
data/A_HP_010.csv,31,17,73,1,4.560553633217993,4.294117647058823,0.13851992409867173,0.6129572443143341,HP,0.9149321031732076,0.327741935483871,0.42171102830639773,-0.059300820201794946,-0.03861113359618147,HP,0.011084106290672135,-0.07038492649246708,0.6018731380236619,-0.07038492649246708,0.015048839786096335
data/A_HP_011.csv,19,3,37,9,6.222222222222222,12.333333333333334,0.6491228070175439,0.05520925307318093,HP,0.1770191243875454,0.9331578947368421,0.9443661718336482,-0.011632852189976992,-0.7519798117889673,HP,0.21587100367166767,-0.22750385586164468,0.059780166042037314,-0.007061939221120611,0.04220782657758415
data/A_HP_012.csv,23,6,56,1,38.22222222222222,9.333333333333334,0.4057971014492754,0.1496588504959432,HP,2.4334023464458245,0.43965217391304345,0.8482408195536031,-0.41068897559101336,0.3862139224921286,HP,-0.11087051244368348,-0.29981846314732985,0.2605293629396267,-0.29981846314732985,-0.16492919478844348
data/A_HP_013.csv,22,10,83,4,13.41,8.3,0.37727272727272726,0.22097267084184977,HP,1.006117196056955,0.6988181818181818,0.7760601219856147,-0.08020914733996845,0.00264857180972552,HP,-7.603260697939944e-4,-0.07944882127017446,0.22173299691164375,-0.07944882127017447,0.04719111028758227
data/A_HP_014.csv,19,10,58,1,15.16,5.8,0.30526315789473685,0.33273289185365473,HP,1.8158983666061705,0.4066315789473684,0.665950228376878,-0.2606355291989768,0.25909153798611834,HP,-0.07437746262740821,-0.1862580665715686,0.4071103544810629,-0.18625806657156863,-0.04887556322633374
data/A_HP_015.csv,7,2,5,1,2.25,2.5,0.35714285714285715,0.22411427238816645,HP,0.5785714285714285,0.578,0.7729050453188946,-0.1978857276118336,-0.23764301679958832,HP,0.06822023111238365,-0.2661059587242173,0.1558940412757828,-0.2661059587242173,-0.1619939568923321
data/A_HP_016.csv,21,5,33,1,23.04,6.6,0.3142857142857143,0.20313032711958845,HP,2.3937662337662338,0.472,0.7940266291566422,-0.3248696728804116,0.37908173657063615,HP,-0.10882307432219628,-0.21604659855821529,0.31195340144178474,-0.21604659855821529,-0.07541622869403664
data/A_HP_017.csv,9,4,10,1,2.25,2.5,0.2777777777777778,0.4733316040486942,HP,0.65,0.5573333333333333,0.5364974469466159,0.030664937382027524,-0.18708664335714442,HP,0.05370700229171051,-0.023042064909682983,0.4196246017569837,-0.02304206490968297,0.1127045171009331
