395,756,3,136,22,4,93,3,11,97,0,0,10,0,0,0,0,0,4,3,4,2,3,0,0,0,0,0,2,0,0
60,7,371,25,105,11,11,11,4,4,0,0,0,7,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
107,12,58,96,15,73,9,34,2,4,0,3,0,11,5,0,42,2,0,5,0,0,0,0,0,0,0,0,0,2,0
205,28,8,16,5,21,12,19,0,0,0,0,0,22,0,0,3,10,12,11,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,105,0,0,0,38,0,34,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
83,12,0,12,13,9,11,12,0,5,0,0,0,6,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0
19,4,47,0,58,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
11,0,6,7,2,4,13,25,0,0,0,0,0,7,0,50,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
31,15,0,7,8,15,0,12,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0
74,0,18,7,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,6,0,0,69,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
14,15,0,3,4,3,0,5,0,0,0,0,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,26,4,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0
14,7,0,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
5,2,4,11,0,0,0,2,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,2,0,0,7,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,2,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
