209046,16884,9081,2942,3287,3111,1569,166,177,293,629,301,335,272,61,137,49,7,2,0,0,0,0,0,5,0,3,0,0,0
3627,211,1306,358,0,0,85,3,0,159,0,21,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
43,70,713,1970,21,0,0,75,27,160,49,22,2,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2,25,30,2,9,0,1309,627,0,0,0,9,0,139,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
85,140,40,176,0,0,2,0,0,159,0,17,0,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,6,6,0,3,3,0,0,0,0
30,3,3,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
20,8,15,6,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0
2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
