2266,703,305,0,12,5,0,127,48,14,17,3,0,13,0,0,0,0,0,0,0
1368,574,150,592,0,153,0,0,0,69,0,27,27,3,0,15,0,7,4,0,0
1065,398,324,0,24,9,0,8,63,2,2,0,0,0,0,0,0,0,0,0,0
188,142,621,19,3,17,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
261,82,119,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
43,4,17,0,170,0,77,0,0,0,0,0,0,0,4,0,0,0,0,0,2
132,26,48,18,65,4,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0
9,4,4,0,15,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0,3,0,0,0,0,13,7,0,61,0,0,0,3,0,0,0,0,5,0
41,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,4,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
