449,107,26,82,40,2,0,0,6,0,0,6,0,0,5,0,0,0,6,0,0,0,0,0
0,159,106,4,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
4,0,0,46,3,132,9,0,8,0,20,0,0,0,10,11,0,0,0,0,0,0,0,0
18,94,19,7,38,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
31,18,0,12,6,0,0,0,2,25,2,8,0,0,0,2,4,0,0,0,0,0,0,0
7,30,16,27,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,16,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,5,0,0,2,0
0,0,2,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,15,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2,3,0,6,2,2,0,0,2,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0
2,7,3,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
0,6,2,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
